#          b = 6
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -3.869926735e-01 -1.076282816e-01 -5.007968789e-02 -2.887892340e-02 -1.702811709e-02 -4.250039853e-03 1.458450095e-02 3.555596714e-02 6.422881007e-02 9.302255782e-02 1.321462639e-01 1.691530403e-01 2.204402521e-01 2.666640785e-01 3.333862658e-01 3.906830884e-01 4.795714215e-01 5.515406904e-01 6.809560642e-01 7.765237266e-01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
4.00000000e+00 -1.28720738e-01 -1.70495545e-01 7.46004115e-02 4.97815523e-02 -4.64557768e-02 5.52402842e-02 -6.06668662e-02 6.60565279e-02 6.53636658e-02 -6.59089537e-02 5.97634999e-02 -5.38743873e-02 -4.41602703e-02 -3.46433837e-02 2.59436189e-02 -1.83523006e-02 1.34662722e-02 -9.94397430e-03 7.40145991e-03 -6.41973104e-03 
4.10000000e+00 -1.35411764e-01 -1.73592911e-01 7.73291623e-02 5.15686223e-02 -4.77772142e-02 5.67328345e-02 -6.19334705e-02 6.80103708e-02 6.72637488e-02 -6.89165306e-02 6.27180279e-02 -5.76435266e-02 -4.74270803e-02 -3.78596964e-02 2.82669492e-02 -2.01072430e-02 1.45234419e-02 -1.05967269e-02 7.76761282e-03 -6.66457609e-03 
4.20000000e+00 -1.42253366e-01 -1.76337542e-01 7.98977188e-02 5.32115951e-02 -4.89077701e-02 5.79593012e-02 -6.28396137e-02 6.95883945e-02 6.87574890e-02 -7.16104671e-02 6.54097073e-02 -6.13309949e-02 -5.06824206e-02 -4.12118103e-02 3.07227975e-02 -2.20230391e-02 1.56812968e-02 -1.13226374e-02 8.16819392e-03 -6.93131211e-03 
4.30000000e+00 -1.49242200e-01 -1.78712900e-01 8.22868365e-02 5.46934765e-02 -4.98292236e-02 5.88945609e-02 -6.33541841e-02 7.07492685e-02 6.97974566e-02 -7.39342485e-02 6.77816416e-02 -6.48842684e-02 -5.38851287e-02 -4.46776376e-02 3.33020784e-02 -2.41054882e-02 1.69469187e-02 -1.21306354e-02 8.60785679e-03 -7.22331928e-03 
4.40000000e+00 -1.56374761e-01 -1.80703401e-01 8.44776540e-02 5.59976838e-02 -5.05241578e-02 5.95148050e-02 -6.34481607e-02 7.14536083e-02 7.03381805e-02 -7.58315752e-02 6.97760225e-02 -6.82473491e-02 -5.69898737e-02 -4.82303168e-02 3.59921481e-02 -2.63584248e-02 1.83266791e-02 -1.30298823e-02 9.09141284e-03 -7.54408606e-03 
4.50000000e+00 -1.63647382e-01 -1.82294450e-01 8.64517934e-02 5.71081609e-02 -5.09761129e-02 5.97977889e-02 -6.30949781e-02 7.16644948e-02 7.03367998e-02 -7.72471106e-02 7.13348665e-02 -7.13612919e-02 -5.99474288e-02 -5.18380824e-02 3.87765141e-02 -2.87833323e-02 1.98259852e-02 -1.40296493e-02 9.62378952e-03 -7.89719772e-03 
4.60000000e+00 -1.71056242e-01 -1.83472491e-01 8.81914587e-02 5.80094910e-02 -5.11697342e-02 5.97230714e-02 -6.22708752e-02 7.13479813e-02 6.97537106e-02 -7.81272535e-02 7.24008028e-02 -7.41648190e-02 -6.27050374e-02 -5.54642107e-02 4.16345850e-02 -3.13789505e-02 2.14490060e-02 -1.51391748e-02 1.02099827e-02 -8.28632753e-03 
4.70000000e+00 -1.78597369e-01 -1.84225039e-01 8.96795309e-02 5.86870062e-02 -5.10909137e-02 5.92722427e-02 -6.09552245e-02 7.04735848e-02 6.85531983e-02 -7.84209282e-02 7.29179026e-02 -7.65950191e-02 -6.52068719e-02 -5.90670494e-02 4.45414666e-02 -3.41408843e-02 2.31983832e-02 -1.63675012e-02 1.08550024e-02 -8.71523052e-03 
4.80000000e+00 -1.86266643e-01 -1.84540717e-01 9.08996604e-02 5.91268936e-02 -5.07269240e-02 5.84291394e-02 -5.91308390e-02 6.90147531e-02 6.67040484e-02 -7.80803784e-02 7.28325390e-02 -7.85881227e-02 -6.73945870e-02 -6.26001390e-02 4.74678170e-02 -3.70612218e-02 2.50749281e-02 -1.77232910e-02 1.15638117e-02 -9.18773958e-03 
4.90000000e+00 -1.94059809e-01 -1.84409283e-01 9.18363547e-02 5.93162966e-02 -5.00665438e-02 5.71800427e-02 -5.67842512e-02 6.69493032e-02 6.41801254e-02 -7.70619563e-02 7.20942649e-02 -8.00803488e-02 -6.92079631e-02 -6.60124324e-02 5.03797663e-02 -4.01281705e-02 2.70773098e-02 -1.92146201e-02 1.23412571e-02 -9.70776364e-03 
5.00000000e+00 -2.01972473e-01 -1.83821663e-01 9.24750632e-02 5.92434107e-02 -4.91001739e-02 5.55138604e-02 -5.39059626e-02 6.42598245e-02 6.09609123e-02 -7.53268939e-02 7.06566988e-02 -8.10088103e-02 -7.05856373e-02 -6.92486169e-02 5.32389134e-02 -4.33257213e-02 2.92017399e-02 -2.08487517e-02 1.31919902e-02 -1.02792871e-02 
5.10000000e+00 -2.10000116e-01 -1.82769973e-01 9.28022565e-02 5.88975749e-02 -4.78199422e-02 5.34222880e-02 -5.04906597e-02 6.09340412e-02 5.70320027e-02 -7.28420460e-02 6.84784030e-02 -8.13124693e-02 -7.14659134e-02 -7.22495414e-02 5.60024046e-02 -4.66333500e-02 3.14416583e-02 -2.26318884e-02 1.41203797e-02 -1.09063702e-02 
5.20000000e+00 -2.18138092e-01 -1.81247534e-01 9.28055011e-02 5.82693546e-02 -4.62197979e-02 5.08999498e-02 -4.65373947e-02 5.69651289e-02 5.23855365e-02 -6.95805928e-02 6.55237412e-02 -8.09331278e-02 -7.17876462e-02 -7.49527518e-02 5.86231034e-02 -5.00257668e-02 3.37874274e-02 -2.45689058e-02 1.51304125e-02 -1.15931484e-02 
5.30000000e+00 -2.26381643e-01 -1.79248899e-01 9.24735285e-02 5.73506199e-02 -4.42955930e-02 4.79445163e-02 -4.20497264e-02 5.23519820e-02 4.70205734e-02 -6.55226910e-02 6.17637028e-02 -7.98164426e-02 -7.14911865e-02 -7.72931314e-02 6.10498560e-02 -5.34727236e-02 3.62260404e-02 -2.66630691e-02 1.62255838e-02 -1.23438303e-02 
5.40000000e+00 -2.34725896e-01 -1.76769854e-01 9.17963000e-02 5.61346148e-02 -4.20451511e-02 4.45567992e-02 -3.70358223e-02 4.70994251e-02 4.09433974e-02 -6.06560628e-02 5.71766776e-02 -7.79129459e-02 -7.05193782e-02 -7.92036464e-02 6.32278575e-02 -5.69388901e-02 3.87408532e-02 -2.89157347e-02 1.74087746e-02 -1.31626931e-02 
5.50000000e+00 -2.43165876e-01 -1.73807439e-01 9.07650638e-02 5.46160194e-02 -3.94683227e-02 4.07408200e-02 -3.15085173e-02 4.12183681e-02 3.41677449e-02 -5.49765115e-02 5.17491697e-02 -7.51790589e-02 -6.88185918e-02 -8.06161883e-02 6.50991223e-02 -6.03838080e-02 4.13113459e-02 -3.13260407e-02 1.86821176e-02 -1.40540715e-02 
5.60000000e+00 -2.51696511e-01 -1.70359943e-01 8.93724077e-02 5.27910037e-02 -3.65670265e-02 3.65038539e-02 -2.54853298e-02 3.47258986e-02 2.67149536e-02 -4.84883550e-02 4.54764345e-02 -7.15780798e-02 -6.63397801e-02 -8.14625095e-02 6.66030581e-02 -6.37619323e-02 4.39129231e-02 -3.38905898e-02 2.00468496e-02 -1.50223420e-02 
5.70000000e+00 -2.60312637e-01 -1.66426915e-01 8.76123044e-02 5.06572729e-02 -3.33452765e-02 3.18564465e-02 -1.89884335e-02 2.76453125e-02 1.86140268e-02 -4.12047679e-02 3.83630285e-02 -6.70811300e-02 -6.30395408e-02 -8.16752392e-02 6.76771446e-02 -6.70227694e-02 4.65167628e-02 -3.66031308e-02 2.15031514e-02 -1.60718971e-02 
5.80000000e+00 -2.69009003e-01 -1.62009156e-01 8.54801511e-02 4.82141037e-02 -2.98091941e-02 2.68124044e-02 -1.20445844e-02 2.00060791e-02 9.90160999e-03 -3.31480244e-02 3.04232578e-02 -6.16680415e-02 -5.88811667e-02 -8.11889709e-02 6.82577119e-02 -7.01111179e-02 4.90897198e-02 -3.94542415e-02 2.30499764e-02 -1.72071095e-02 
5.90000000e+00 -2.77780285e-01 -1.57108717e-01 8.29728019e-02 4.54623718e-02 -2.59670060e-02 2.13887582e-02 -4.68500384e-03 1.18437402e-02 6.21877960e-04 -2.43496358e-02 2.16815155e-02 -5.53281679e-02 -5.38356662e-02 -7.99414050e-02 6.82808155e-02 -7.29674190e-02 5.15942951e-02 -4.24310225e-02 2.46848662e-02 -1.84322841e-02 
6.00000000e+00 -2.86621084e-01 -1.51728889e-01 8.00885938e-02 4.24045699e-02 -2.18290267e-02 1.56056992e-02 3.05478321e-03 3.19974362e-03 -9.17366845e-03 -1.48503757e-02 1.21724983e-02 -4.80611029e-02 -4.78827359e-02 -7.78745329e-02 6.76831980e-02 -7.55282200e-02 5.39886780e-02 -4.55168066e-02 2.64037580e-02 -1.97515943e-02 
6.10000000e+00 -2.95525939e-01 -1.45874191e-01 7.68273660e-02 3.90448162e-02 -1.74076261e-02 9.48648862e-03 1.11351521e-02 -5.87878903e-03 -1.94264964e-02 -4.70019169e-03 1.94129355e-03 -3.98772903e-02 -4.10116645e-02 -7.49358432e-02 6.64033291e-02 -7.77267549e-02 5.62268684e-02 -4.86908928e-02 2.82007827e-02 -2.11690024e-02 
