#          b = 2
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -4.874323301e-01 -1.233597036e-01 -4.422850581e-02 3.798368206e-02 1.597917592e-01 3.119509956e-01 5.063160760e-01 7.264286393e-01 9.962343642e-01 1.288230969e+00 1.642094801e+00 2.014295313e+00 2.467507553e+00 2.934109992e+00 3.513823665e+00 4.099827425e+00 4.860724129e+00 5.616811217e+00 6.707545218e+00 7.778808423e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
3.70000000e+00 9.46329895e-01 1.27118442e-01 -3.91422671e-02 1.23284490e-01 1.50724604e-01 -1.28980782e-01 -8.39288179e-02 -4.73089523e-02 1.84342093e-02 2.37486727e-02 -4.99607483e-02 -1.11670286e-01 -1.90778787e-01 2.56773054e-01 -2.93166021e-01 -1.85818860e-01 -1.51724007e-02 3.27802212e-01 -5.02342636e-01 5.36980857e-01 
3.80000000e+00 9.37426146e-01 1.03305174e-01 -5.78687999e-02 1.31435814e-01 1.37348054e-01 -9.51763935e-02 -3.17875682e-02 1.71864757e-02 -5.59932275e-02 -5.87184528e-02 3.84756657e-02 -2.26848883e-02 -1.11798827e-01 2.09144954e-01 -2.96985433e-01 -2.56232648e-01 -1.40710320e-01 2.13475380e-01 -4.44665638e-01 6.09122027e-01 
3.90000000e+00 9.26032697e-01 7.86248702e-02 -7.45847146e-02 1.34257781e-01 1.16968415e-01 -5.50388553e-02 2.36389006e-02 8.21305620e-02 -1.27486355e-01 -1.38320398e-01 1.25382517e-01 7.24807156e-02 -1.72715975e-02 1.31833959e-01 -2.62830538e-01 -2.90107769e-01 -2.49154495e-01 8.52466268e-02 -3.49957029e-01 6.58546263e-01 
4.00000000e+00 9.12350538e-01 5.34180463e-02 -8.89425189e-02 1.31754834e-01 9.06065829e-02 -1.08624954e-02 7.86610967e-02 1.42577478e-01 -1.89842624e-01 -2.07449531e-01 2.01589390e-01 1.63294114e-01 8.16758882e-02 3.36770481e-02 -1.94509545e-01 -2.82179974e-01 -3.27966841e-01 -4.38274480e-02 -2.22158385e-01 6.76570154e-01 
4.10000000e+00 8.96588866e-01 2.80187328e-02 -1.00662764e-01 1.24114628e-01 5.95330047e-02 3.48682741e-02 1.29646104e-01 1.93945423e-01 -2.37628124e-01 -2.59456256e-01 2.58911400e-01 2.39534887e-01 1.73075125e-01 -7.36196390e-02 -1.00395418e-01 -2.32266661e-01 -3.67407612e-01 -1.59226453e-01 -6.98480343e-02 6.56244562e-01 
4.20000000e+00 8.78961943e-01 2.74825879e-03 -1.09538703e-01 1.11695318e-01 2.52032878e-02 7.96221460e-02 1.73257981e-01 2.32367020e-01 -2.66650391e-01 -2.89302121e-01 2.91034567e-01 2.92478022e-01 2.45557751e-01 -1.76860537e-01 7.43568974e-03 -1.45695136e-01 -3.62147722e-01 -2.46856444e-01 9.40872037e-02 5.93655238e-01 
4.30000000e+00 8.59686133e-01 -2.20902503e-02 -1.15438528e-01 9.50068905e-02 -1.08128138e-02 1.20963152e-01 2.06673677e-01 2.54980074e-01 -2.74320177e-01 -2.94057174e-01 2.94212649e-01 3.15930148e-01 2.89779205e-01 -2.63008903e-01 1.14653431e-01 -3.29617065e-02 -3.12385417e-01 -2.95134865e-01 2.53495585e-01 4.89056682e-01 
4.40000000e+00 8.38977146e-01 -4.62165740e-02 -1.18305289e-01 7.46876052e-02 -4.69052568e-02 1.56683535e-01 2.27760079e-01 2.60136267e-01 -2.59870191e-01 -2.73190520e-01 2.67695209e-01 3.06988589e-01 2.99637577e-01 -3.20887406e-01 2.06537259e-01 9.13948545e-02 -2.24235052e-01 -2.96952773e-01 3.90685316e-01 3.47615934e-01 
4.50000000e+00 8.17047533e-01 -6.93772463e-02 -1.18154627e-01 5.14767694e-02 -8.14966664e-02 1.84919760e-01 2.35201033e-01 2.47512598e-01 -2.24412406e-01 -2.28624419e-01 2.13836429e-01 2.66424734e-01 2.73121079e-01 -3.42696310e-01 2.70006606e-01 2.10597863e-01 -1.09251988e-01 -2.51171654e-01 4.88670818e-01 1.79562829e-01 
4.60000000e+00 7.94104431e-01 -9.13485270e-02 -1.15070574e-01 2.61851245e-02 -1.13110906e-01 2.04245522e-01 2.28567094e-01 2.18118590e-01 -1.70830641e-01 -1.64546675e-01 1.37869906e-01 1.98638029e-01 2.12661396e-01 -3.25129844e-01 2.95525949e-01 3.07890566e-01 1.69114997e-02 -1.63345749e-01 5.33660243e-01 -3.94496958e-04 
