#          b = 6
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -3.299526782e-01 -9.679628167e-02 -4.628056458e-02 -2.566984111e-02 -1.115161880e-03 2.702364899e-02 7.648100378e-02 1.209328951e-01 2.089244998e-01 2.755258772e-01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
7.60000000e+00 4.77540701e-01 7.12335818e-02 -7.12606706e-02 8.65275984e-02 -1.48838173e-01 -1.60357016e-01 -2.00190383e-01 -1.59158164e-01 -1.55336040e-01 3.90350946e-02 
7.70000000e+00 4.86992991e-01 8.27206694e-02 -7.91175544e-02 9.32721146e-02 -1.56177643e-01 -1.69797735e-01 -2.09623458e-01 -1.73191518e-01 -1.68979367e-01 5.34706207e-02 
7.80000000e+00 4.96377118e-01 9.43186053e-02 -8.69883749e-02 9.99000554e-02 -1.63112132e-01 -1.78752858e-01 -2.18310390e-01 -1.86851058e-01 -1.82352827e-01 6.86057380e-02 
7.90000000e+00 5.05686781e-01 1.06005183e-01 -9.48489321e-02 1.06383069e-01 -1.69599672e-01 -1.87161672e-01 -2.26172264e-01 -2.00028960e-01 -1.95338215e-01 8.43659602e-02 
8.00000000e+00 5.14915771e-01 1.17757969e-01 -1.02674831e-01 1.12693108e-01 -1.75600074e-01 -1.94965862e-01 -2.33134089e-01 -2.12617778e-01 -2.07814893e-01 1.00666232e-01 
8.10000000e+00 5.24057975e-01 1.29554363e-01 -1.10441571e-01 1.18802567e-01 -1.81075185e-01 -2.02109955e-01 -2.39125499e-01 -2.24511418e-01 -2.19660899e-01 1.17411204e-01 
8.20000000e+00 5.33107382e-01 1.41371656e-01 -1.18124646e-01 1.24684418e-01 -1.85989137e-01 -2.08541755e-01 -2.44081433e-01 -2.35606124e-01 -2.30754111e-01 1.34495640e-01 
8.30000000e+00 5.42058091e-01 1.53187084e-01 -1.25699627e-01 1.30312352e-01 -1.90308584e-01 -2.14212747e-01 -2.47942771e-01 -2.45801469e-01 -2.40973470e-01 1.51804968e-01 
8.40000000e+00 5.50904313e-01 1.64977891e-01 -1.33142261e-01 1.35660900e-01 -1.94002921e-01 -2.19078480e-01 -2.50656945e-01 -2.55001332e-01 -2.50200246e-01 1.69215958e-01 
8.50000000e+00 5.59640374e-01 1.76721381e-01 -1.40428559e-01 1.40705567e-01 -1.97044488e-01 -2.23098932e-01 -2.52178501e-01 -2.63114869e-01 -2.58319328e-01 1.86597551e-01 
8.60000000e+00 5.68260727e-01 1.88394975e-01 -1.47534886e-01 1.45422949e-01 -1.99408758e-01 -2.26238835e-01 -2.52469605e-01 -2.70057442e-01 -2.65220527e-01 2.03811806e-01 
8.70000000e+00 5.76759948e-01 1.99976268e-01 -1.54438047e-01 1.49790851e-01 -2.01074510e-01 -2.28467969e-01 -2.51500502e-01 -2.75751524e-01 -2.70799890e-01 2.20714986e-01 
8.80000000e+00 5.85132744e-01 2.11443076e-01 -1.61115373e-01 1.53788397e-01 -2.02023973e-01 -2.29761430e-01 -2.49249912e-01 -2.80127548e-01 -2.74960985e-01 2.37158760e-01 
8.90000000e+00 5.93373956e-01 2.22773497e-01 -1.67544803e-01 1.57396130e-01 -2.02242959e-01 -2.30099851e-01 -2.45705360e-01 -2.83124703e-01 -2.77616168e-01 2.52991515e-01 
9.00000000e+00 6.01478564e-01 2.33945954e-01 -1.73704963e-01 1.60596109e-01 -2.01720969e-01 -2.29469588e-01 -2.40863439e-01 -2.84691664e-01 -2.78687794e-01 2.68059772e-01 
