#          b = 1.2
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -4.967549723e-01 -1.177596507e-01 5.324275529e-02 3.123752342e-01 6.711524672e-01 1.114759789e+00 1.663833910e+00 2.294645497e+00 3.046654324e+00 3.879886020e+00 4.859755887e+00 5.921904160e+00 7.171382046e+00 8.506395763e+00 1.009840647e+01 1.178417294e+01 1.386449074e+01 1.606332517e+01 1.902646050e+01 2.223855487e+01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
3.50000000e+00 2.90826571e-01 2.24828732e-01 -2.36498888e-01 -1.54705503e-01 -1.49915632e-01 -2.61814042e-01 2.33938757e-01 -5.84615534e-02 5.62837050e-02 2.09258075e-01 2.41036957e-01 2.87145734e-01 2.66097363e-01 -1.67566470e-01 -8.66608685e-02 -2.28718874e-01 -3.35462421e-01 5.28735320e-01 -4.10464593e-02 5.15874589e-01 
3.60000000e+00 2.62221458e-01 2.11300998e-01 -2.61348477e-01 -9.78593703e-02 -2.13599329e-01 -2.50096935e-01 1.44085055e-01 7.62344818e-02 1.98907189e-01 3.27288686e-01 3.52985127e-01 3.74236863e-01 4.01340828e-01 -3.26584629e-01 -3.36925929e-01 5.47974617e-02 -1.20462831e-01 4.95632456e-01 3.51744947e-01 4.08632150e-01 
3.70000000e+00 2.36213881e-01 1.96501097e-01 -2.78476278e-01 -3.53687624e-02 -2.58396362e-01 -2.06774508e-01 3.41752940e-02 1.98310666e-01 2.96643579e-01 3.66644914e-01 3.66696280e-01 3.46039458e-01 4.03811860e-01 -3.62872445e-01 -4.61979597e-01 3.11205241e-01 1.53557554e-01 2.43842270e-01 5.87748329e-01 1.25519284e-01 
3.80000000e+00 2.12701281e-01 1.81001902e-01 -2.88118945e-01 2.90366571e-02 -2.81123802e-01 -1.38065674e-01 -7.91345118e-02 2.85567759e-01 3.30375854e-01 3.17785753e-01 2.80400544e-01 2.10506064e-01 2.73654002e-01 -2.63034271e-01 -4.11506647e-01 4.36700803e-01 3.64583923e-01 -1.21631829e-01 5.61097155e-01 -2.06302037e-01 
3.90000000e+00 1.91542876e-01 1.65299744e-01 -2.90827924e-01 9.19383504e-02 -2.80691409e-01 -5.28475327e-02 -1.79562276e-01 3.22859153e-01 2.94960287e-01 1.92853486e-01 1.19207910e-01 8.80252241e-03 5.45392637e-02 -6.43031474e-02 -2.02698535e-01 3.81270032e-01 4.16103523e-01 -4.39360637e-01 2.81716704e-01 -4.35315742e-01 
4.00000000e+00 1.72571417e-01 1.49808853e-01 -2.87392062e-01 1.50430434e-01 -2.57976026e-01 3.86371050e-02 -2.53524705e-01 3.04462685e-01 1.99535069e-01 2.20718701e-02 -7.25356204e-02 -1.97852129e-01 -1.81229339e-01 1.59717705e-01 8.54724840e-02 1.69348569e-01 2.81648914e-01 -5.63675248e-01 -1.24417761e-01 -4.55641441e-01 
4.10000000e+00 1.55603474e-01 1.34860868e-01 -2.78759388e-01 2.02246834e-01 -2.15528342e-01 1.26110985e-01 -2.91842020e-01 2.34588666e-01 6.48611250e-02 -1.54093827e-01 -2.43701397e-01 -3.47229491e-01 -3.56798644e-01 3.26607289e-01 3.42478290e-01 -1.10417452e-01 1.84058870e-02 -4.33231267e-01 -4.70002574e-01 -2.58792492e-01 
4.20000000e+00 1.40448181e-01 1.20708327e-01 -2.65963110e-01 2.45815100e-01 -1.57167928e-01 2.00454473e-01 -2.90640271e-01 1.26081126e-01 -8.14997147e-02 -2.94878981e-01 -3.50032148e-01 -3.94951734e-01 -4.15835997e-01 3.75480128e-01 4.69138432e-01 -3.42082758e-01 -2.57205027e-01 -1.02847572e-01 -5.92943472e-01 5.96027529e-02 
4.30000000e+00 1.26914451e-01 1.07531006e-01 -2.50055475e-01 2.80244993e-01 -8.75241813e-02 2.54621678e-01 -2.51419080e-01 -2.30147929e-03 -2.10990458e-01 -3.68750925e-01 -3.65310405e-01 -3.27400766e-01 -3.40335227e-01 2.88857253e-01 4.16249924e-01 -4.30469480e-01 -4.21486997e-01 2.78423359e-01 -4.34233157e-01 3.44040972e-01 
4.40000000e+00 1.14816753e-01 9.54440708e-02 -2.32051819e-01 3.05264991e-01 -1.15752852e-02 2.84198724e-01 -1.80384282e-01 -1.29417248e-01 -2.99592409e-01 -3.60287246e-01 -2.87282606e-01 -1.64994938e-01 -1.55592984e-01 9.82482783e-02 2.03704393e-01 -3.40248190e-01 -3.99460637e-01 5.34680445e-01 -6.86409464e-02 4.54641027e-01 
