#          b = 1.2
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -4.919461446e-01 -8.090469106e-02 2.741203525e-01 8.009204848e-01 1.560513588e+00 2.477430159e+00 3.734975746e+00 5.156771413e+00 7.234374253e+00 9.545778493e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
5.50000000e+00 -9.20961268e-03 -3.24152107e-02 -7.55538795e-02 2.76052294e-01 5.30184037e-01 -2.72927109e-01 5.05657832e-01 3.83924674e-02 -4.23774249e-01 -2.79265466e-01 
5.60000000e+00 -7.28547074e-03 -2.74398426e-02 -5.97395420e-02 2.52199964e-01 5.11795562e-01 -3.49526398e-01 4.21322503e-01 -1.24559923e-01 -6.36818195e-01 -5.38568245e-01 
5.70000000e+00 -5.72026827e-03 -2.30519706e-02 -4.63349488e-02 2.29314595e-01 4.82147370e-01 -4.10033323e-01 2.98420118e-01 -2.71551335e-01 -7.40995387e-01 -6.87914454e-01 
5.80000000e+00 -4.45728830e-03 -1.92129240e-02 -3.51793418e-02 2.07490395e-01 4.43963147e-01 -4.54390705e-01 1.49361932e-01 -3.87737509e-01 -7.22855415e-01 -6.97309964e-01 
5.90000000e+00 -3.44650553e-03 -1.58825541e-02 -2.60697717e-02 1.86763485e-01 3.99985673e-01 -4.83504088e-01 -1.22916465e-02 -4.63024010e-01 -5.89889526e-01 -5.66048534e-01 
6.00000000e+00 -2.64426244e-03 -1.30193064e-02 -1.87775064e-02 1.67144399e-01 3.52811856e-01 -4.98901924e-01 -1.73317451e-01 -4.92460668e-01 -3.67411697e-01 -3.21332197e-01 
6.10000000e+00 -2.01286902e-03 -1.05806122e-02 -1.30626060e-02 1.48639355e-01 3.04764422e-01 -5.02437993e-01 -3.22062964e-01 -4.75976867e-01 -9.27800039e-02 -1.13692457e-02 
6.20000000e+00 -1.52014222e-03 -8.52350841e-03 -8.68619223e-03 1.31261296e-01 2.57803592e-01 -4.96059141e-01 -4.49327820e-01 -4.17633118e-01 1.91683951e-01 3.05135029e-01 
6.30000000e+00 -1.13890360e-03 -6.80538700e-03 -5.42015693e-03 1.15032722e-01 2.13478437e-01 -4.81645249e-01 -5.48853560e-01 -3.24584132e-01 4.45690743e-01 5.70649163e-01 
6.40000000e+00 -8.46454516e-04 -5.38477838e-03 -3.05426449e-03 9.99828118e-02 1.72914495e-01 -4.60916046e-01 -6.17435300e-01 -2.05935010e-01 6.36738873e-01 7.39251372e-01 
6.50000000e+00 -6.24047018e-04 -4.22208818e-03 -1.40077999e-03 8.61413423e-02 1.36831890e-01 -4.35391550e-01 -6.54710776e-01 -7.16374306e-02 7.43877434e-01 7.83970224e-01 
6.60000000e+00 -4.56366810e-04 -3.28022728e-03 -2.96892379e-04 7.35315987e-02 1.05586763e-01 -4.06389704e-01 -6.62709171e-01 6.84712940e-02 7.59187871e-01 7.00008960e-01 
6.70000000e+00 -3.31041535e-04 -2.52509699e-03 3.94707864e-04 6.21639372e-02 7.92282682e-02 -3.75045084e-01 -6.45253625e-01 2.05427079e-01 6.87127581e-01 5.03754032e-01 
6.80000000e+00 -2.38184553e-04 -1.92591232e-03 7.86693071e-04 5.20310782e-02 5.75636270e-02 -3.42335437e-01 -6.07308996e-01 3.31673837e-01 5.42202249e-01 2.28271822e-01 
6.90000000e+00 -1.69981018e-04 -1.45536400e-03 9.68997955e-04 4.31056404e-02 4.02246573e-02 -3.09106795e-01 -5.54353541e-01 4.41379927e-01 3.45614797e-01 -8.34590548e-02 
7.00000000e+00 -1.20320016e-04 -1.08963345e-03 1.01137649e-03 3.53399551e-02 2.67304585e-02 -2.76092132e-01 -4.91833652e-01 5.30560301e-01 1.21574600e-01 -3.86112145e-01 
7.10000000e+00 -8.44738892e-05 -8.08283707e-04 9.66289238e-04 2.86678640e-02 1.65424800e-02 -2.43922128e-01 -4.24738487e-01 5.97038291e-01 -1.06133983e-01 -6.38995188e-01 
7.20000000e+00 -5.88236836e-05 -5.94054077e-04 8.71857717e-04 2.30079960e-02 9.10970247e-03 -2.13129109e-01 -3.57309900e-01 6.40284881e-01 -3.16888475e-01 -8.11395235e-01 
7.30000000e+00 -4.06280795e-05 -4.32587276e-04 7.54689481e-04 1.82679452e-02 3.90304077e-03 -1.84146723e-01 -2.92884782e-01 6.61172933e-01 -4.95032385e-01 -8.85687399e-01 
7.40000000e+00 -2.78320411e-05 -3.12116082e-04 6.32441749e-04 1.43487870e-02 4.39192622e-04 -1.57308249e-01 -2.33853482e-01 6.61681113e-01 -6.30698211e-01 -8.58083923e-01 
7.50000000e+00 -1.89107960e-05 -2.23133112e-04 5.16047581e-04 1.11494549e-02 -1.70502468e-03 -1.32846143e-01 -1.81709683e-01 6.44578053e-01 -7.19753937e-01 -7.37306628e-01 
