#          b = 0.5
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -4.924250637e-01 2.379595318e-01 1.353795348e+00 2.973362552e+00 5.112616427e+00 7.754341059e+00 1.095216565e+01 1.467350919e+01 1.901713332e+01 2.392265106e+01 2.955622788e+01 3.581488634e+01 4.297284145e+01 5.086308071e+01 5.995069558e+01 6.997266712e+01 8.179414587e+01 9.502554829e+01 1.117403700e+02 1.318342824e+02 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
4.40000000e+00 -8.22544767e-10 -9.18331957e-08 1.05404256e-06 1.00596083e-05 -5.40628737e-05 3.01796359e-04 1.03217039e-03 4.00902230e-03 9.07180818e-03 -2.63289592e-02 3.46715986e-02 -8.87724147e-02 2.84287884e-03 2.41571140e-01 5.59834586e-01 -8.90237360e-01 -1.04975265e+00 2.48921594e-01 1.20166569e+00 -1.18128399e+00 
4.50000000e+00 -2.31954463e-10 -2.67663628e-08 3.30285137e-07 3.35860936e-06 -1.95797008e-05 1.17354427e-04 4.42351941e-04 1.86151738e-03 4.79059251e-03 -1.51650578e-02 2.50827382e-02 -6.58485486e-02 -3.71908782e-02 1.90535170e-01 2.92664517e-01 -7.04518543e-01 -1.27354831e+00 -4.44339312e-01 1.19823995e+00 -5.40448642e-01 
4.60000000e+00 -6.19792837e-11 -7.39838620e-09 9.78097995e-08 1.05706889e-06 -6.65260173e-06 4.26650850e-05 1.75876328e-04 7.98253058e-04 2.29990985e-03 -7.91133357e-03 1.55540233e-02 -4.34026173e-02 -4.43847179e-02 1.48055287e-01 1.00315950e-01 -5.34996471e-01 -1.09203354e+00 -9.39012601e-01 2.19852240e-01 7.79037400e-01 
4.70000000e+00 -1.57072122e-11 -1.94052258e-09 2.74010862e-08 3.14004349e-07 -2.12447265e-06 1.45339587e-05 6.51045322e-05 3.17409807e-04 1.01197176e-03 -3.76653814e-03 8.52659794e-03 -2.55822497e-02 -3.58348581e-02 1.06786641e-01 -4.68505605e-03 -3.98471372e-01 -7.21015985e-01 -1.13729191e+00 -8.71599949e-01 1.43663578e+00 
4.80000000e+00 -3.77846186e-12 -4.83269824e-10 7.26826245e-09 8.81300011e-08 -6.38663086e-07 4.64785046e-06 2.25029381e-05 1.17424655e-04 4.10534759e-04 -1.64646050e-03 4.20409761e-03 -1.35942032e-02 -2.35556535e-02 6.97393523e-02 -4.29330103e-02 -2.86471186e-01 -3.64572767e-01 -1.08960050e+00 -1.42306841e+00 9.00298745e-01 
4.90000000e+00 -8.63388527e-13 -1.14336912e-10 1.82691640e-09 2.33930796e-08 -1.80989492e-07 1.39762287e-06 7.28018813e-06 4.05298614e-05 1.54259535e-04 -6.64051159e-04 1.88509688e-03 -6.56182547e-03 -1.33696523e-02 4.10267147e-02 -4.42040161e-02 -1.93530469e-01 -1.23503259e-01 -8.97208610e-01 -1.35500838e+00 -3.23895693e-01 
5.00000000e+00 -1.87521032e-13 -2.57115804e-11 4.35459474e-10 5.87767854e-09 -4.84088363e-08 3.95752464e-07 2.20909002e-06 1.30828546e-05 5.38850027e-05 -2.48105223e-04 7.74666820e-04 -2.89552321e-03 -6.73453110e-03 2.17991592e-02 -3.19683019e-02 -1.20474228e-01 -3.38362587e-03 -6.55294445e-01 -9.51947177e-01 -1.40638660e+00 
5.10000000e+00 -3.87342053e-14 -5.49820862e-12 9.84931058e-11 1.39901870e-09 -1.22336436e-08 1.05659264e-07 6.29824092e-07 3.95759527e-06 1.75510266e-05 -8.61598571e-05 2.93435166e-04 -1.17428166e-03 -3.05830332e-03 1.05144513e-02 -1.90161287e-02 -6.84628992e-02 3.53487060e-02 -4.30332808e-01 -5.20688454e-01 -1.87300436e+00 
5.20000000e+00 -7.61315537e-15 -1.11854812e-12 2.11522620e-11 3.15685529e-10 -2.92393627e-09 2.66278745e-08 1.68977324e-07 1.12391942e-06 5.34375810e-06 -2.78889759e-05 1.02911634e-04 -4.39626429e-04 -1.26493285e-03 4.62832271e-03 -9.81373795e-03 -3.54346530e-02 3.51993769e-02 -2.55811547e-01 -2.17881301e-01 -1.74620700e+00 
5.30000000e+00 -1.42450549e-15 -2.16574632e-13 4.31562189e-12 6.75751575e-11 -6.61515814e-10 6.34095095e-09 4.27197246e-08 3.00118242e-07 1.52415099e-06 -8.43459118e-06 3.35373824e-05 -1.52501146e-04 -4.79948630e-04 1.86847963e-03 -4.50782531e-03 -1.67266509e-02 2.36552966e-02 -1.38235071e-01 -5.96353326e-02 -1.30753621e+00 
