# omega0=1, alpha=0.2
# theta0=-0.79, theta_dot0=0.1234
# t_start=0, t_end=200, h=0.0116355
#   t          x(t)                 v(t)       
2.362012254365752e+01 -9.983130561590604e+00 9.855865820303247e-01
2.373647782712382e+01 -9.867199356545079e+00 1.008766404066339e+00
2.385283311059013e+01 -9.747990111692989e+00 1.041997948038066e+00
2.396918839405643e+01 -9.624310125221024e+00 1.085679178144036e+00
2.408554367752274e+01 -9.494920596008010e+00 1.140200943555440e+00
2.420189896098904e+01 -9.358539129344205e+00 1.205914250723808e+00
2.431825424445535e+01 -9.213847527034897e+00 1.283071099769863e+00
2.443460952792165e+01 -9.059508322584051e+00 1.371732178520604e+00
2.455096481138796e+01 -8.894194307842113e+00 1.471634893128453e+00
2.466732009485427e+01 -8.716635935639523e+00 1.582017836549888e+00
2.478367537832057e+01 -8.525691583597958e+00 1.701404775189403e+00
2.490003066178688e+01 -8.320444590948098e+00 1.827364788820319e+00
2.501638594525318e+01 -8.100327868444477e+00 1.956286748379365e+00
2.513274122871949e+01 -7.865270855564071e+00 2.083234135027029e+00
2.524909651218579e+01 -7.615854330238945e+00 2.201972031130599e+00
2.536545179565210e+01 -7.353447210643475e+00 2.305264746384621e+00
2.548180707911840e+01 -7.080289582528811e+00 2.385507076811254e+00
2.559816236258471e+01 -6.799483674808823e+00 2.435659929323794e+00
2.571451764605101e+01 -6.514865483631004e+00 2.450327673273953e+00
2.583087292951732e+01 -6.230755965231974e+00 2.426698840827635e+00
2.594722821298362e+01 -5.951625466035771e+00 2.365053084090735e+00
2.606358349644993e+01 -5.681733953770657e+00 2.268657010922336e+00
2.617993877991623e+01 -5.424818276442499e+00 2.143084583175564e+00
2.629629406338254e+01 -5.183881469501658e+00 1.995191749859303e+00
2.641264934684884e+01 -4.961106563964674e+00 1.832051581188816e+00
2.652900463031515e+01 -4.757883935033082e+00 1.660099151975150e+00
2.664535991378145e+01 -4.574919500821624e+00 1.484605207426215e+00
2.676171519724776e+01 -4.412384867092494e+00 1.309472428134199e+00
2.687807048071406e+01 -4.270076139165826e+00 1.137273652952444e+00
2.699442576418037e+01 -4.147559113910009e+00 9.694315922370734e-01
2.711078104764667e+01 -4.044289589820376e+00 8.064548442834425e-01
2.722713633111298e+01 -3.959705840481623e+00 6.481732787965964e-01
2.734349161457928e+01 -3.893295307132375e+00 4.939426473725238e-01
2.745984689804559e+01 -3.844639859881797e+00 3.428077718199324e-01
2.757620218151189e+01 -3.813444462302759e+00 1.936254659972005e-01
2.769255746497820e+01 -3.799553544570236e+00 4.515436863243490e-02
2.780891274844450e+01 -3.802958386170566e+00 -1.038786530778076e-01
2.792526803191081e+01 -3.823797633108499e+00 -2.547251546753471e-01
2.804162331537711e+01 -3.862351860505452e+00 -4.085643721441016e-01
2.815797859884342e+01 -3.919031877008410e+00 -5.664446554000524e-01
2.827433388230972e+01 -3.994359255321303e+00 -7.292066996105706e-01
2.839068916577603e+01 -4.088936387369292e+00 -8.973787096519219e-01
2.850704444924233e+01 -4.203402307735132e+00 -1.071035584733986e+00
2.862339973270864e+01 -4.338369860069625e+00 -1.249619214862415e+00
2.873975501617494e+01 -4.494339975476296e+00 -1.431727199333378e+00
2.885611029964125e+01 -4.671590623771272e+00 -1.614894813257820e+00
2.897246558310755e+01 -4.870042286484328e+00 -1.795420212617008e+00
2.908882086657386e+01 -5.089109285005003e+00 -1.968311343080366e+00
2.920517615004016e+01 -5.327556732163145e+00 -2.127452400129611e+00
2.932153143350647e+01 -5.583394048183258e+00 -2.266077019876210e+00
2.943788671697277e+01 -5.853843069700637e+00 -2.377573040974581e+00
2.955424200043908e+01 -6.135415292821916e+00 -2.456526527519251e+00
2.967059728390538e+01 -6.424114030093381e+00 -2.499777283986047e+00
2.978695256737169e+01 -6.715745215316044e+00 -2.507179251887543e+00
2.990330785083799e+01 -7.006286309294389e+00 -2.481807461084164e+00
3.001966313430430e+01 -7.292242104291234e+00 -2.429531686614661e+00
3.013601841777060e+01 -7.570920059983457e+00 -2.358099590135961e+00
3.025237370123691e+01 -7.840584200503717e+00 -2.276019615701288e+00
3.036872898470321e+01 -8.100482195247253e+00 -2.191541469479120e+00
3.048508426816952e+01 -8.350769485250103e+00 -2.111926015890876e+00
3.060143955163582e+01 -8.592368392752308e+00 -2.043055703392225e+00
3.071779483510213e+01 -8.826799325714946e+00 -1.989329248944928e+00
3.083415011856843e+01 -9.056011234892923e+00 -1.953735371310376e+00
3.095050540203474e+01 -9.282225831922750e+00 -1.937999519837439e+00
3.106686068550104e+01 -9.507799017828468e+00 -1.942721948286718e+00
3.118321596896735e+01 -9.735095278482587e+00 -1.967456660386695e+00
3.129957125243365e+01 -9.966366665564388e+00 -2.010710005025206e+00
3.141592653589996e+01 -1.020362707026905e+01 -2.069864217029014e+00
3.153228181936626e+01 -1.044851464517652e+01 -2.141057803895943e+00
3.164863710283257e+01 -1.070214059215714e+01 -2.219083355096099e+00
3.176499238629888e+01 -1.096493123837891e+01 -2.297390951182395e+00
3.188134766976518e+01 -1.123648165546181e+01 -2.368300204329345e+00
3.199770295323149e+01 -1.151545046279002e+01 -2.423506382246681e+00
3.211405823669779e+01 -1.179953195265737e+01 -2.454897513673787e+00
3.223041352016409e+01 -1.208553714617734e+01 -2.455581550564156e+00
3.234676880363040e+01 -1.236959602801681e+01 -2.420895699148211e+00
3.246312408709670e+01 -1.264746200639179e+01 -2.349106417484312e+00
3.257947937056301e+01 -1.291486791427195e+01 -2.241568916983018e+00
3.269583465402931e+01 -1.316786543194284e+01 -2.102291673023368e+00
3.281218993749562e+01 -1.340308572662487e+01 -1.937057254548381e+00
3.292854522096192e+01 -1.361788524346242e+01 -1.752377347676997e+00
3.304490050442823e+01 -1.381037392982088e+01 -1.554555968892983e+00
3.316125578789453e+01 -1.397934969372330e+01 -1.349032020412336e+00
3.327761107136084e+01 -1.412417525322625e+01 -1.140044264703628e+00
3.339396635482714e+01 -1.424463258819544e+01 -9.305679766920290e-01
3.351032163829345e+01 -1.434078147510402e+01 -7.224326083031178e-01
3.362667692175975e+01 -1.441283788130340e+01 -5.165324701301600e-01
3.374303220522606e+01 -1.446107903374157e+01 -3.130662191258733e-01
3.385938748869236e+01 -1.448577613174852e+01 -1.117685264267286e-01
3.397574277215867e+01 -1.448715278552740e+01 8.788031310310092e-02
3.409209805562497e+01 -1.446536653275038e+01 2.864664108757714e-01
3.420845333909128e+01 -1.442051133769326e+01 4.844679397171803e-01
3.432480862255758e+01 -1.435264007224902e+01 6.820844471752265e-01
3.444116390602389e+01 -1.426180702104372e+01 8.790626189554259e-01
3.455751918949019e+01 -1.414813091119984e+01 1.074518600905177e+00
3.467387447295650e+01 -1.401187829763608e+01 1.266769083164122e+00
3.479022975642280e+01 -1.385356479351367e+01 1.453199779180005e+00
3.490658503988911e+01 -1.367406724658360e+01 1.630217949756636e+00
3.502294032335541e+01 -1.347473369004078e+01 1.793348451625795e+00
3.513929560682172e+01 -1.325747095834373e+01 1.937529291578808e+00
3.525565089028802e+01 -1.302478487825029e+01 2.057630825462035e+00
3.537200617375433e+01 -1.277974859139936e+01 2.149158468813149e+00
3.548836145722063e+01 -1.252588397522194e+01 2.209016834612076e+00
3.560471674068694e+01 -1.226695940677518e+01 2.236150165611135e+00
3.572107202415324e+01 -1.200672949040757e+01 2.231872638972647e+00
3.583742730761955e+01 -1.174866020170169e+01 2.199780976666079e+00
3.595378259108585e+01 -1.149568803041567e+01 2.145272731369352e+00
3.607013787455216e+01 -1.125005155412333e+01 2.074814040335919e+00
3.618649315801846e+01 -1.101321319642115e+01 1.995154746546893e+00
3.630284844148477e+01 -1.078586670493162e+01 1.912663061909964e+00
3.641920372495107e+01 -1.056801001031581e+01 1.832875812231423e+00
3.653555900841738e+01 -1.035905686466542e+01 1.760278156156766e+00
3.665191429188368e+01 -1.015796268022628e+01 1.698269662965878e+00
3.676826957534999e+01 -9.963346683060291e+00 1.649250033570180e+00
3.688462485881630e+01 -9.773600332106975e+00 1.614759684355336e+00
3.700098014228260e+01 -9.586978701160309e+00 1.595625148617780e+00
3.711733542574891e+01 -9.401676322875968e+00 1.592076671404919e+00
3.723369070921521e+01 -9.215891888718314e+00 1.603820239170778e+00
3.735004599268152e+01 -9.027887586234838e+00 1.630057367775399e+00
3.746640127614782e+01 -8.836049127160059e+00 1.669454351151568e+00
3.758275655961413e+01 -8.638951880338926e+00 1.720070305693585e+00
3.769911184308043e+01 -8.435436947248615e+00 1.779262064337452e+00
3.781546712654674e+01 -8.224698314699028e+00 1.843594642569189e+00
3.793182241001304e+01 -8.006378199738778e+00 1.908797569563184e+00
3.804817769347935e+01 -7.780662456305317e+00 1.969815961583941e+00
3.816453297694565e+01 -7.548362166704758e+00 2.021003890358101e+00
3.828088826041196e+01 -7.310962923264277e+00 2.056488296922978e+00
3.839724354387826e+01 -7.070622225275488e+00 2.070690172649475e+00
3.851359882734457e+01 -6.830100221400296e+00 2.058932349262503e+00
3.862995411081087e+01 -6.592620493432322e+00 2.018010617072769e+00
3.874630939427718e+01 -6.361673493510016e+00 1.946585669367905e+00
3.886266467774348e+01 -6.140790396683075e+00 1.845287239954541e+00
3.897901996120979e+01 -5.933323414672962e+00 1.716502258385999e+00
3.909537524467609e+01 -5.742266389734977e+00 1.563911899794485e+00
3.921173052814240e+01 -5.570137775021054e+00 1.391906277749600e+00
3.932808581160870e+01 -5.418931945085946e+00 1.205016703502423e+00
3.944444109507501e+01 -5.290130217447568e+00 1.007469963787449e+00
3.956079637854131e+01 -5.184754030762783e+00 8.029127293669935e-01
3.967715166200762e+01 -5.103440228988206e+00 5.943034767495807e-01
3.979350694547392e+01 -5.046520714015038e+00 3.839385237740942e-01
3.990986222894023e+01 -5.014093370946164e+00 1.735688204044056e-01
4.002621751240653e+01 -5.006076075361388e+00 -3.543185366973252e-02
4.014257279587284e+01 -5.022239626440792e+00 -2.418769443560119e-01
4.025892807933914e+01 -5.062218341544458e+00 -4.445759221296546e-01
4.037528336280545e+01 -5.125499075076826e+00 -6.421569472535795e-01
4.049163864627175e+01 -5.211391099447320e+00 -8.329178168643522e-01
4.060799392973806e+01 -5.318981112410379e+00 -1.014722638698489e+00
4.072434921320436e+01 -5.447079921460555e+00 -1.184966032394115e+00
4.084070449667067e+01 -5.594170049547604e+00 -1.340628577365391e+00
4.095705978013697e+01 -5.758366059251439e+00 -1.478442120872813e+00
4.107341506360328e+01 -5.937400746635753e+00 -1.595167623378334e+00
4.118977034706958e+01 -6.128649186051859e+00 -1.687961186312306e+00
4.130612563053589e+01 -6.329197903356846e+00 -1.754771796851992e+00
4.142248091400219e+01 -6.535958301672098e+00 -1.794689586056731e+00
4.153883619746850e+01 -6.745813565976323e+00 -1.808160234658242e+00
4.165519148093480e+01 -6.955779682792047e+00 -1.797007029532261e+00
4.177154676440111e+01 -7.163157093714871e+00 -1.764250828238988e+00
4.188790204786741e+01 -7.365651521059119e+00 -1.713771211630012e+00
4.200425733133372e+01 -7.561449886591245e+00 -1.649888205910934e+00
4.212061261480002e+01 -7.749247195854195e+00 -1.576951222330539e+00
4.223696789826633e+01 -7.928229438384007e+00 -1.499002815507448e+00
4.235332318173263e+01 -8.098023581795156e+00 -1.419552292371911e+00
4.246967846519894e+01 -8.258627900801292e+00 -1.341462429949067e+00
4.258603374866524e+01 -8.410334871494321e+00 -1.266930702943173e+00
4.270238903213155e+01 -8.553656021601997e+00 -1.197536722916575e+00
4.281874431559785e+01 -8.689254757110158e+00 -1.134327518471387e+00
4.293509959906416e+01 -8.817890163369691e+00 -1.077917639330229e+00
4.305145488253046e+01 -8.940372510725641e+00 -1.028588171293698e+00
4.316781016599677e+01 -9.057529736629473e+00 -9.863753039274273e-01
4.328416544946307e+01 -9.170183395317565e+00 -9.511440979073121e-01
4.340052073292938e+01 -9.279132267914910e+00 -9.226464132738652e-01
4.351687601639568e+01 -9.385141827488788e+00 -9.005638639943415e-01
4.363323129986199e+01 -9.488937914332631e+00 -8.845375622905188e-01
4.374958658332829e+01 -9.591203201952441e+00 -8.741866813428369e-01
4.386594186679460e+01 -9.692575267802447e+00 -8.691177838309745e-01
4.398229715026091e+01 -9.793645296738958e+00 -8.689266333120120e-01
4.409865243372721e+01 -9.894956629937086e+00 -8.731939509913857e-01
4.421500771719352e+01 -9.997002529620863e+00 -8.814763772716949e-01
4.433136300065982e+01 -1.010022266910297e+01 -8.932937884862463e-01
4.444771828412613e+01 -1.020499799072264e+01 -9.081141264398830e-01
4.456407356759243e+01 -1.031164371533503e+01 -9.253370279545409e-01
4.468042885105874e+01 -1.042040044986416e+01 -9.442777834062578e-01
4.479678413452504e+01 -1.053142353556374e+01 -9.641534760763874e-01
